,filename,label,answer
0,5_4_41056_WSI_NEU_XX.wav,5,"<s> The emotion of the audio is calm and reassuring. The speaker's tone is gentle and soothing, making the listener feel at ease and relaxed. There is a sense of confidence and authority in the speaker's voice, indicating that they are knowledgeable and experienced in their field. Overall, the audio has a calming effect on the listener.</s>"
1,5_4_41056_WSI_NEU_XX.wav,5,<s> I heard a sense of excitement and anticipation in the audio.</s>
2,5_4_41056_WSI_NEU_XX.wav,5,"<s> Yes, I can hear the sad emotion in the person's voice on the audio.</s>"
3,5_4_41056_WSI_NEU_XX.wav,5,"<s> Yes, someone is speaking in a sad sound on the audio.</s>"
4,5_4_41056_WSI_NEU_XX.wav,5,"<s> No, the speaker does not sound sad.</s>"
5,5_4_41056_WSI_NEU_XX.wav,5,"<s> Yes, I can hear a sad emotion from the audio.</s>"
6,1_1_11004_IEO_DIS_MD.wav,1,"<s> The emotion of the audio is calm and relaxed. The speaker's voice is soft and soothing, creating a sense of peace and tranquility. There is no sense of urgency or tension in the audio, making it a good choice for background music or meditation. Overall, the audio has a calming effect and can help to reduce stress and anxiety.</s>"
7,1_1_11004_IEO_DIS_MD.wav,1,<s> I heard sadness in the audio.</s>
8,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, I can hear the disgust in the person's voice on the audio.</s>"
9,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, someone is speaking in a disgust sound on the audio.</s>"
10,1_1_11004_IEO_DIS_MD.wav,1,"<s> No, the speaker does not sound like disgust.</s>"
11,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, I can hear a disgust emotion from the audio.</s>"
12,5_5_51091_WSI_SAD_XX.wav,5,"<s> The emotion of the audio is a sense of urgency and determination. The speaker seems to be in a hurry and wants to get things done quickly. The tone is confident and assertive, indicating that the speaker is in control of the situation and knows what they want to achieve. Overall, the emotion of the audio is energetic and motivated.</s>"
13,5_5_51091_WSI_SAD_XX.wav,5,<s> I heard a sense of urgency and determination in the audio.</s>
14,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, I can hear the sad emotion in the person's voice on the audio.</s>"
15,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, someone is speaking in a sad sound on the audio.</s>"
16,5_5_51091_WSI_SAD_XX.wav,5,"<s> No, the speaker does not sound sad.</s>"
17,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, I can hear a sad emotion from the audio.</s>"
18,4_4_41076_IWL_NEU_XX.wav,4,<s> The emotion of the audio is a request for a new alarm clock.</s>
19,4_4_41076_IWL_NEU_XX.wav,4,<s> I heard a sense of excitement and anticipation in the audio.</s>
20,4_4_41076_IWL_NEU_XX.wav,4,"<s> Yes, I can hear the person say 'I would like a new alarm clock' in neutral emotion on the audio.</s>"
21,4_4_41076_IWL_NEU_XX.wav,4,"<s> Yes, someone is speaking in a neutral sound on the audio.</s>"
22,4_4_41076_IWL_NEU_XX.wav,4,"<s> Yes, the speaker sounds neutral.</s>"
