,filename,label,answer
0,1_1_11004_IEO_DIS_MD.wav,1,"<s> The emotion of the audio is calm and relaxed. The speaker's voice is soft and soothing, creating a sense of peace and tranquility. There is no sense of urgency or tension in the audio, making it a good choice for background music or meditation. Overall, the audio has a calming effect and can help to reduce stress and anxiety.</s>"
1,1_1_11004_IEO_DIS_MD.wav,1,<s> Boredom</s>
2,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, I can hear the disgust in the person's voice on the audio.</s>"
3,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, someone is speaking in a disgust sound on the audio.</s>"
4,1_1_11004_IEO_DIS_MD.wav,1,"<s> No, the speaker does not sound like disgust.</s>"
5,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, I can hear a disgust emotion from the audio.</s>"
6,5_5_51091_WSI_SAD_XX.wav,5,"<s> The emotion of the audio is a sense of urgency and determination. The speaker seems to be in a hurry and wants to get things done quickly. The tone is confident and assertive, indicating that the speaker is in control of the situation and knows what they want to achieve. Overall, the emotion of the audio is energetic and motivated.</s>"
7,5_5_51091_WSI_SAD_XX.wav,5,<s> Anger</s>
8,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, I can hear the sad emotion in the person's voice on the audio.</s>"
9,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, someone is speaking in a sad sound on the audio.</s>"
10,5_5_51091_WSI_SAD_XX.wav,5,"<s> No, the speaker does not sound sad.</s>"
11,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, I can hear a sad emotion from the audio.</s>"
12,3_3_31044_IEO_HAP_HI.wav,3,<s> The emotion of the audio is sleepy and relaxed.</s>
13,3_3_31044_IEO_HAP_HI.wav,3,<s> Boredom</s>
14,3_3_31044_IEO_HAP_HI.wav,3,"<s> Yes, I can hear the person say in happy emotion on the audio.</s>"
15,3_3_31044_IEO_HAP_HI.wav,3,"<s> Yes, someone is speaking in a happy sound on the audio.</s>"
16,3_3_31044_IEO_HAP_HI.wav,3,"<s> No, the speaker does not sound happy.</s>"
17,3_3_31044_IEO_HAP_HI.wav,3,"<s> No, I cannot hear a happy emotion from the audio.</s>"
18,1_0_01054_IEO_ANG_HI.wav,1,<s> The emotion of the audio is angry and frustrated.</s>
19,1_0_01054_IEO_ANG_HI.wav,1,<s> Anger</s>
20,1_0_01054_IEO_ANG_HI.wav,1,"<s> Yes, I can hear the disgust and emotion in the person's voice on the audio.</s>"
21,1_0_01054_IEO_ANG_HI.wav,1,"<s> Yes, someone is speaking in a disgust sound on the audio.</s>"
22,1_0_01054_IEO_ANG_HI.wav,1,"<s> Yes, the speaker sounds like disgust.</s>"
23,1_0_01054_IEO_ANG_HI.wav,1,"<s> Yes, I can hear a disgust emotion from the audio.</s>"
24,2_1_11087_TIE_DIS_XX.wav,2,<s> The audio expresses a sense of shock and disbelief.</s>
25,2_1_11087_TIE_DIS_XX.wav,2,<s> Sadness</s>
26,2_1_11087_TIE_DIS_XX.wav,2,"<s> Yes, I can hear the fear and emotion in the person's voice on the audio.</s>"
27,2_1_11087_TIE_DIS_XX.wav,2,"<s> Yes, someone is speaking in a fear sound on the audio.</s>"
28,2_1_11087_TIE_DIS_XX.wav,2,"<s> Yes, the speaker sounds like fear.</s>"
29,2_1_11087_TIE_DIS_XX.wav,2,"<s> Yes, I can hear a fear emotion from the audio.</s>"
