,filename,label,answer
0,4_0_01051_IWW_ANG_XX.wav,4,<s> The emotion of the audio is curious and questioning.</s>
1,4_0_01051_IWW_ANG_XX.wav,4,<s> Curiosity</s>
2,4_0_01051_IWW_ANG_XX.wav,4,"<s> Yes, I can hear the person say in neutral emotion on the audio.</s>"
3,4_0_01051_IWW_ANG_XX.wav,4,"<s> Yes, someone is speaking in a neutral sound on the audio.</s>"
4,4_0_01051_IWW_ANG_XX.wav,4,"<s> Yes, the speaker sounds neutral.</s>"
5,4_0_01051_IWW_ANG_XX.wav,4,"<s> Yes, there is a neutral emotion in the audio.</s>"
6,4_2_21038_IEO_FEA_MD.wav,4,<s> The emotion of the audio is one of surprise or shock. The speaker seems to be expressing surprise that it is already 11 o'clock.</s>
7,4_2_21038_IEO_FEA_MD.wav,4,<s> Anger or frustration can be heard in the audio.</s>
8,4_2_21038_IEO_FEA_MD.wav,4,"<s> Yes, I can hear the person say 'It's eleven o'clock' in neutral emotion on the audio.</s>"
9,4_2_21038_IEO_FEA_MD.wav,4,"<s> Yes, someone is speaking in a neutral sound on the audio.</s>"
10,4_2_21038_IEO_FEA_MD.wav,4,"<s> Yes, the speaker sounds neutral.</s>"
11,4_2_21038_IEO_FEA_MD.wav,4,"<s> Yes, there is a neutral emotion in the audio.</s>"
12,1_1_11054_IWL_DIS_XX.wav,1,<s> The emotion of the audio is a request for a new alarm clock.</s>
13,1_1_11054_IWL_DIS_XX.wav,1,<s> Anxiety or fear can be heard in the audio.</s>
14,1_1_11054_IWL_DIS_XX.wav,1,"<s> Yes, I can hear the disgust in the person's voice on the audio.</s>"
15,1_1_11054_IWL_DIS_XX.wav,1,"<s> Yes, someone is speaking in a disgust sound on the audio.</s>"
16,1_1_11054_IWL_DIS_XX.wav,1,"<s> No, the speaker does not sound like disgust.</s>"
17,1_1_11054_IWL_DIS_XX.wav,1,"<s> Yes, I can hear a disgust emotion from the audio.</s>"
18,2_4_41048_TIE_NEU_XX.wav,2,<s> The emotion of the audio is one of shock and disbelief. The speaker is expressing that what happened is exactly what they expected to happen.</s>
19,2_4_41048_TIE_NEU_XX.wav,2,<s> Confirmation and relief can be heard in the audio.</s>
20,2_4_41048_TIE_NEU_XX.wav,2,"<s> No, I cannot hear the person say in fear emotion on the audio.</s>"
21,2_4_41048_TIE_NEU_XX.wav,2,"<s> No, there is no fear sound on the audio.</s>"
22,2_4_41048_TIE_NEU_XX.wav,2,"<s> No, the speaker does not sound like fear.</s>"
23,2_4_41048_TIE_NEU_XX.wav,2,"<s> Yes, I can hear a fear emotion from the audio.</s>"
24,2_4_41071_IWL_NEU_XX.wav,2,<s> The audio expresses a desire for a new alarm clock.</s>
25,2_4_41071_IWL_NEU_XX.wav,2,<s> There is a sense of excitement and anticipation in the audio.</s>
26,2_4_41071_IWL_NEU_XX.wav,2,"<s> Yes, I can hear the fear and emotion in the person's voice on the audio.</s>"
27,2_4_41071_IWL_NEU_XX.wav,2,"<s> Yes, someone is speaking in a fear sound on the audio.</s>"
28,2_4_41071_IWL_NEU_XX.wav,2,"<s> No, the speaker does not sound like fear.</s>"
29,2_4_41071_IWL_NEU_XX.wav,2,"<s> Yes, I can hear a fear emotion from the audio.</s>"
30,2_2_21033_ITH_FEA_XX.wav,2,"<s> The emotion of the audio is uncertain as there is not enough information to determine the exact emotion of the speaker. However, the use of the phrase ""I think I have a doctor's appointment"" suggests that the speaker may be feeling anxious or stressed about an upcoming medical appointment. Additionally, the use of the phrase ""I think"" suggests that the speaker may be unsure or uncertain about their appointment. Overall, the emotion of the audio is likely to be a combination of anxiety, stress, and uncertainty.</s>"
31,2_2_21033_ITH_FEA_XX.wav,2,<s> Anxiety or nervousness can be heard in the audio.</s>
32,2_2_21033_ITH_FEA_XX.wav,2,"<s> Yes, you can hear the person say 'I think I have a doctor's appointment' in fear and emotion on the audio.</s>"
33,2_2_21033_ITH_FEA_XX.wav,2,"<s> Yes, someone is speaking in a fear sound on the audio.</s>"
34,2_2_21033_ITH_FEA_XX.wav,2,"<s> No, the speaker does not sound like fear.</s>"
35,2_2_21033_ITH_FEA_XX.wav,2,"<s> Yes, I can hear a fear emotion from the audio.</s>"
36,4_4_41040_IOM_NEU_XX.wav,4,<s> The emotion of the audio is excitement and anticipation.</s>
37,4_4_41040_IOM_NEU_XX.wav,4,<s> Excitement or anticipation can be heard in the audio.</s>
38,4_4_41040_IOM_NEU_XX.wav,4,"<s> Yes, I can hear the person say in neutral emotion on the audio.</s>"
39,4_4_41040_IOM_NEU_XX.wav,4,"<s> Yes, someone is speaking in a neutral sound on the audio.</s>"
40,4_4_41040_IOM_NEU_XX.wav,4,"<s> Yes, the speaker sounds neutral.</s>"
41,4_4_41040_IOM_NEU_XX.wav,4,"<s> Yes, I can hear a neutral emotion from the audio.</s>"
42,3_0_01033_MTI_ANG_XX.wav,3,<s> The emotion of the audio is one of uncertainty and apprehension. The speaker seems to be contemplating the possibility of something negative happening in the future and expressing a sense of unease about it.</s>
43,3_0_01033_MTI_ANG_XX.wav,3,<s> Fear</s>
44,3_0_01033_MTI_ANG_XX.wav,3,"<s> Yes, I can hear the happy emotion in the person's voice on the audio.</s>"
45,3_0_01033_MTI_ANG_XX.wav,3,"<s> Yes, someone is speaking in a happy sound on the audio.</s>"
46,3_0_01033_MTI_ANG_XX.wav,3,"<s> No, the speaker does not sound happy.</s>"
47,3_0_01033_MTI_ANG_XX.wav,3,"<s> Yes, I can hear a happy emotion from the audio.</s>"
48,3_3_31027_ITH_HAP_XX.wav,3,<s> The emotion of the audio is one of excitement and anticipation. The speaker seems to be eagerly awaiting a doctor's appointment and is excited about what may come of it.</s>
49,3_3_31027_ITH_HAP_XX.wav,3,<s> Excitement or eagerness can be heard in the audio.</s>
